/Users/josepsmachine/miniforge3/envs/ML/lib/python3.10/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([100])) that is different to the input size (torch.Size([100, 100, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
{'epoch': 7, 'batch': 30, 'loss': 0.17093487083911896}
{'epoch': 7, 'batch': 60, 'loss': 0.2664361000061035}
{'epoch': 7, 'batch': 90, 'loss': 0.47318994998931885}
{'epoch': 7, 'batch': 120, 'loss': 0.04630028456449509}
{'epoch': 7, 'batch': 150, 'loss': 0.07045631855726242}
{'epoch': 7, 'batch': 180, 'loss': 0.05159103870391846}
{'epoch': 7, 'batch': 210, 'loss': 0.1479567587375641}
{'epoch': 7, 'batch': 240, 'loss': 0.06253746896982193}
{'epoch': 7, 'batch': 270, 'loss': 0.24191878736019135}
{'epoch': 7, 'batch': 300, 'loss': 0.13518045842647552}
{'epoch': 7, 'batch': 330, 'loss': 0.09737224876880646}
{'epoch': 7, 'batch': 360, 'loss': 0.04181859269738197}
{'epoch': 7, 'batch': 390, 'loss': 0.0933106318116188}
{'epoch': 7, 'batch': 420, 'loss': 0.20054589211940765}
{'epoch': 7, 'batch': 450, 'loss': 0.035890232771635056}
{'epoch': 7, 'batch': 480, 'loss': 0.09974462538957596}
{'epoch': 7, 'batch': 510, 'loss': 5.926576614379883}
{'epoch': 7, 'batch': 540, 'loss': 0.2395862489938736}
{'epoch': 7, 'batch': 570, 'loss': 0.5635330080986023}
{'epoch': 7, 'batch': 600, 'loss': 0.2507995069026947}
{'TEST!': 7, 'batch': 0, 'loss': 0.038842059671878815}
{'TEST!': 7, 'batch': 30, 'loss': 0.1850290149450302}
{'TEST!': 7, 'batch': 60, 'loss': 0.05704371631145477}
{'TEST!': 7, 'batch': 90, 'loss': 0.06513141095638275}
{'TEST!': 7, 'batch': 120, 'loss': 0.12319626659154892}
{'TEST!': 7, 'batch': 150, 'loss': 0.15263277292251587}
{'TEST!': 7, 'batch': 180, 'loss': 0.5230460166931152}
{'epoch': 8, 'batch': 0, 'loss': 0.3273884654045105}
{'epoch': 8, 'batch': 30, 'loss': 0.9333284497261047}
{'epoch': 8, 'batch': 60, 'loss': 0.0819104015827179}
{'epoch': 8, 'batch': 90, 'loss': 0.5617731809616089}
{'epoch': 8, 'batch': 120, 'loss': 0.2265869826078415}
{'epoch': 8, 'batch': 150, 'loss': 0.21204128861427307}
{'epoch': 8, 'batch': 180, 'loss': 0.1938834935426712}
{'epoch': 8, 'batch': 210, 'loss': 0.019560763612389565}
{'epoch': 8, 'batch': 240, 'loss': 0.13753744959831238}
{'epoch': 8, 'batch': 270, 'loss': 0.14934495091438293}
{'epoch': 8, 'batch': 300, 'loss': 0.08652536571025848}
{'epoch': 8, 'batch': 330, 'loss': 0.2848758399486542}
{'epoch': 8, 'batch': 360, 'loss': 0.14590948820114136}
{'epoch': 8, 'batch': 390, 'loss': 0.16292864084243774}
{'epoch': 8, 'batch': 420, 'loss': 0.09490236639976501}
{'epoch': 8, 'batch': 450, 'loss': 0.0421157032251358}
{'epoch': 8, 'batch': 480, 'loss': 0.15084514021873474}
{'epoch': 8, 'batch': 510, 'loss': 0.09796301275491714}
{'epoch': 8, 'batch': 540, 'loss': 0.07155387848615646}
{'epoch': 8, 'batch': 570, 'loss': 0.8760890960693359}
{'epoch': 8, 'batch': 600, 'loss': 6.454036712646484}
{'TEST!': 8, 'batch': 0, 'loss': 0.04558012634515762}
{'TEST!': 8, 'batch': 30, 'loss': 0.2482202798128128}
{'TEST!': 8, 'batch': 60, 'loss': 0.05690803751349449}
{'TEST!': 8, 'batch': 90, 'loss': 0.08521436899900436}
{'TEST!': 8, 'batch': 120, 'loss': 0.03925123065710068}
{'TEST!': 8, 'batch': 150, 'loss': 0.2365068942308426}
{'TEST!': 8, 'batch': 180, 'loss': 0.03359532356262207}
{'epoch': 9, 'batch': 0, 'loss': 0.5086289644241333}
{'epoch': 9, 'batch': 30, 'loss': 0.016620153561234474}
{'epoch': 9, 'batch': 60, 'loss': 0.08925896883010864}
{'epoch': 9, 'batch': 90, 'loss': 0.038664817810058594}
{'epoch': 9, 'batch': 120, 'loss': 0.09837225079536438}
{'epoch': 9, 'batch': 150, 'loss': 5.866979122161865}
{'epoch': 9, 'batch': 180, 'loss': 0.9041770696640015}
{'epoch': 9, 'batch': 210, 'loss': 0.04498313367366791}
{'epoch': 9, 'batch': 240, 'loss': 0.15557576715946198}
{'epoch': 9, 'batch': 270, 'loss': 0.15653401613235474}
{'epoch': 9, 'batch': 300, 'loss': 0.14335542917251587}
{'epoch': 9, 'batch': 330, 'loss': 0.11476162821054459}
{'epoch': 9, 'batch': 360, 'loss': 0.17290478944778442}
{'epoch': 9, 'batch': 390, 'loss': 0.04951781406998634}
{'epoch': 9, 'batch': 420, 'loss': 0.18995124101638794}
